cases,date
67,2021-11-27
62,2021-11-28
60,2021-11-29
58,2021-11-30
61,2021-12-01
64,2021-12-02
67,2021-12-03
73,2021-12-04
77,2021-12-05
85,2021-12-06
89,2021-12-07
86,2021-12-08
84,2021-12-09
82,2021-12-10
82,2021-12-11
90,2021-12-12
94,2021-12-13
95,2021-12-14
89,2021-12-15
87,2021-12-16
98,2021-12-17
100,2021-12-18
96,2021-12-19
106,2021-12-20
103,2021-12-21
102,2021-12-22
100,2021-12-23
102,2021-12-24
94,2021-12-25
98,2021-12-26
100,2021-12-27
106,2021-12-28
122,2021-12-29
148,2021-12-30
166,2021-12-31
173,2022-01-01
197,2022-01-02
195,2022-01-03
197,2022-01-04
227,2022-01-05
255,2022-01-06
261,2022-01-07
261,2022-01-08
275,2022-01-09
287,2022-01-10
289,2022-01-11
291,2022-01-12
287,2022-01-13
291,2022-01-14
281,2022-01-15
275,2022-01-16
291,2022-01-17
289,2022-01-18
269,2022-01-19
292,2022-01-20
293,2022-01-21
303,2022-01-22
305,2022-01-23
319,2022-01-24
332,2022-01-25
335,2022-01-26
314,2022-01-27
313,2022-01-28
294,2022-01-29
290,2022-01-30
276,2022-01-31
268,2022-02-01
260,2022-02-02
249,2022-02-03
239,2022-02-04
233,2022-02-05
222,2022-02-06
213,2022-02-07
209,2022-02-08
196,2022-02-09
201,2022-02-10
180,2022-02-11
170,2022-02-12
157,2022-02-13
154,2022-02-14
152,2022-02-15
153,2022-02-16
146,2022-02-17
139,2022-02-18
134,2022-02-19
121,2022-02-20
124,2022-02-21
129,2022-02-22
122,2022-02-23
121,2022-02-24
110,2022-02-25
100,2022-02-26
97,2022-02-27
92,2022-02-28
91,2022-03-01
87,2022-03-02
90,2022-03-03
80,2022-03-04
72,2022-03-05
71,2022-03-06
64,2022-03-07
69,2022-03-08
59,2022-03-09
52,2022-03-10
47,2022-03-11
50,2022-03-12
52,2022-03-13
53,2022-03-14
45,2022-03-15
45,2022-03-16
42,2022-03-17
41,2022-03-18
37,2022-03-19
37,2022-03-20
39,2022-03-21
40,2022-03-22
44,2022-03-23
46,2022-03-24
44,2022-03-25
37,2022-03-26
40,2022-03-27
42,2022-03-28
37,2022-03-29
38,2022-03-30
36,2022-03-31
35,2022-04-01
29,2022-04-02
22,2022-04-03
23,2022-04-04
25,2022-04-05
24,2022-04-06
22,2022-04-07
19,2022-04-08
23,2022-04-09
28,2022-04-10
34,2022-04-11
33,2022-04-12
38,2022-04-13
33,2022-04-14
31,2022-04-15
31,2022-04-16
30,2022-04-17
30,2022-04-18
32,2022-04-19
35,2022-04-20
32,2022-04-21
31,2022-04-22
32,2022-04-23
38,2022-04-24
42,2022-04-25
42,2022-04-26
39,2022-04-27
37,2022-04-28
30,2022-04-29
30,2022-04-30
33,2022-05-01
32,2022-05-02
30,2022-05-03
31,2022-05-04
27,2022-05-05
23,2022-05-06
23,2022-05-07
23,2022-05-08
27,2022-05-09
27,2022-05-10
25,2022-05-11
36,2022-05-12
38,2022-05-13
44,2022-05-14
51,2022-05-15
54,2022-05-16
48,2022-05-17
54,2022-05-18
55,2022-05-19
45,2022-05-20
43,2022-05-21
39,2022-05-22
38,2022-05-23
39,2022-05-24
38,2022-05-25
42,2022-05-26
42,2022-05-27
44,2022-05-28
44,2022-05-29
44,2022-05-30
49,2022-05-31
52,2022-06-01
53,2022-06-02
53,2022-06-03
51,2022-06-04
57,2022-06-05
53,2022-06-06
58,2022-06-07
50,2022-06-08
49,2022-06-09
50,2022-06-10
57,2022-06-11
61,2022-06-12
66,2022-06-13
64,2022-06-14
62,2022-06-15
62,2022-06-16
62,2022-06-17
54,2022-06-18
52,2022-06-19
54,2022-06-20
59,2022-06-21
62,2022-06-22
68,2022-06-23
61,2022-06-24
49,2022-06-25
46,2022-06-26
52,2022-06-27
53,2022-06-28
51,2022-06-29
54,2022-06-30
58,2022-07-01
62,2022-07-02
62,2022-07-03
58,2022-07-04
54,2022-07-05
60,2022-07-06
62,2022-07-07
53,2022-07-08
54,2022-07-09
55,2022-07-10
55,2022-07-11
53,2022-07-12
53,2022-07-13
53,2022-07-14
52,2022-07-15
57,2022-07-16
62,2022-07-17
56,2022-07-18
62,2022-07-19
64,2022-07-20
62,2022-07-21
63,2022-07-22
72,2022-07-23
69,2022-07-24
72,2022-07-25
65,2022-07-26
59,2022-07-27
